freq,id,year_bac_plus,aidemerite_status
6,103,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
3,104,1,NO: should have
3,104,2,
3,104,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
7,105,1,NO: should have
7,105,2,
7,105,3,"NO: eligible to need-based grant
not enrolled"
10,106,1,NO: should have
10,106,2,
10,106,3,"NO: not eligible to
need-based grant
but enrolled"
64,107,1,NO: should have
64,107,2,
64,107,3,NO: should have
11,108,1,NO: should have
11,108,2,
11,108,3,YES: received
375,109,1,NO: should have
375,109,2,
375,109,3,
8,110,1,YES: received
8,110,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
8,110,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,111,1,YES: received
2,111,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,111,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
14,112,1,YES: received
14,112,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
14,112,3,"NO: not eligible to
need-based grant
but enrolled"
40,113,1,YES: received
40,113,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
40,113,3,NO: should have
53,114,1,YES: received
53,114,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
53,114,3,YES: received
163,115,1,YES: received
163,115,2,"NO: eligible to need-based grant
but application not finalised
enrolled"
163,115,3,
5,116,1,YES: received
5,116,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
5,116,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
11,117,1,YES: received
11,117,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
11,117,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
3,118,1,YES: received
3,118,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
3,118,3,"NO: eligible to need-based grant
not enrolled"
3,119,1,YES: received
3,119,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
3,119,3,"NO: not eligible to
need-based grant
but enrolled"
4,120,1,YES: received
4,120,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
4,120,3,"NO: not eligible to need-based grant
and not enrolled"
21,121,1,YES: received
21,121,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
21,121,3,NO: should have
11,122,1,YES: received
11,122,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
11,122,3,YES: received
306,123,1,YES: received
306,123,2,"NO: eligible to need-based grant
but application not finalised
not enrolled"
306,123,3,
1,124,1,YES: received
1,124,2,"NO: eligible to need-based grant
not enrolled"
1,124,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
2,125,1,YES: received
2,125,2,"NO: eligible to need-based grant
not enrolled"
2,125,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
42,126,1,YES: received
42,126,2,"NO: eligible to need-based grant
not enrolled"
42,126,3,"NO: eligible to need-based grant
not enrolled"
1,127,1,YES: received
1,127,2,"NO: eligible to need-based grant
not enrolled"
1,127,3,"NO: not eligible to
need-based grant
but enrolled"
2,128,1,YES: received
2,128,2,"NO: eligible to need-based grant
not enrolled"
2,128,3,"NO: not eligible to need-based grant
and not enrolled"
14,129,1,YES: received
14,129,2,"NO: eligible to need-based grant
not enrolled"
14,129,3,NO: should have
27,130,1,YES: received
27,130,2,"NO: eligible to need-based grant
not enrolled"
27,130,3,YES: received
32,131,1,YES: received
32,131,2,"NO: eligible to need-based grant
not enrolled"
32,131,3,
34,132,1,YES: received
34,132,2,"NO: not eligible to
need-based grant
but enrolled"
34,132,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
8,133,1,YES: received
8,133,2,"NO: not eligible to
need-based grant
but enrolled"
8,133,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
2,134,1,YES: received
2,134,2,"NO: not eligible to
need-based grant
but enrolled"
2,134,3,"NO: eligible to need-based grant
not enrolled"
460,135,1,YES: received
460,135,2,"NO: not eligible to
need-based grant
but enrolled"
460,135,3,"NO: not eligible to
need-based grant
but enrolled"
10,136,1,YES: received
10,136,2,"NO: not eligible to
need-based grant
but enrolled"
10,136,3,"NO: not eligible to need-based grant
and not enrolled"
135,137,1,YES: received
135,137,2,"NO: not eligible to
need-based grant
but enrolled"
135,137,3,NO: should have
353,138,1,YES: received
353,138,2,"NO: not eligible to
need-based grant
but enrolled"
353,138,3,YES: received
1172,139,1,YES: received
1172,139,2,"NO: not eligible to
need-based grant
but enrolled"
1172,139,3,
1,140,1,YES: received
1,140,2,"NO: not eligible to need-based grant
and not enrolled"
1,140,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
1,141,1,YES: received
1,141,2,"NO: not eligible to need-based grant
and not enrolled"
1,141,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
1,142,1,YES: received
1,142,2,"NO: not eligible to need-based grant
and not enrolled"
1,142,3,"NO: eligible to need-based grant
not enrolled"
1,143,1,YES: received
1,143,2,"NO: not eligible to need-based grant
and not enrolled"
1,143,3,"NO: not eligible to
need-based grant
but enrolled"
9,144,1,YES: received
9,144,2,"NO: not eligible to need-based grant
and not enrolled"
9,144,3,"NO: not eligible to need-based grant
and not enrolled"
5,145,1,YES: received
5,145,2,"NO: not eligible to need-based grant
and not enrolled"
5,145,3,NO: should have
3,146,1,YES: received
3,146,2,"NO: not eligible to need-based grant
and not enrolled"
3,146,3,YES: received
100,147,1,YES: received
100,147,2,"NO: not eligible to need-based grant
and not enrolled"
100,147,3,
91,148,1,YES: received
91,148,2,NO: should have
91,148,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
47,149,1,YES: received
47,149,2,NO: should have
47,149,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
29,150,1,YES: received
29,150,2,NO: should have
29,150,3,"NO: eligible to need-based grant
not enrolled"
157,151,1,YES: received
157,151,2,NO: should have
157,151,3,"NO: not eligible to
need-based grant
but enrolled"
17,152,1,YES: received
17,152,2,NO: should have
17,152,3,"NO: not eligible to need-based grant
and not enrolled"
1204,153,1,YES: received
1204,153,2,NO: should have
1204,153,3,NO: should have
931,154,1,YES: received
931,154,2,NO: should have
931,154,3,YES: received
377,155,1,YES: received
377,155,2,NO: should have
377,155,3,
1596,156,1,YES: received
1596,156,2,YES: received
1596,156,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
544,157,1,YES: received
544,157,2,YES: received
544,157,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
122,158,1,YES: received
122,158,2,YES: received
122,158,3,"NO: eligible to need-based grant
not enrolled"
1921,159,1,YES: received
1921,159,2,YES: received
1921,159,3,"NO: not eligible to
need-based grant
but enrolled"
140,160,1,YES: received
140,160,2,YES: received
140,160,3,"NO: not eligible to need-based grant
and not enrolled"
2340,161,1,YES: received
2340,161,2,YES: received
2340,161,3,NO: should have
31141,162,1,YES: received
31141,162,2,YES: received
31141,162,3,YES: received
3216,163,1,YES: received
3216,163,2,YES: received
3216,163,3,
31,164,1,YES: received
31,164,2,
31,164,3,"NO: eligible to need-based grant
but application not finalised
enrolled"
13,165,1,YES: received
13,165,2,
13,165,3,"NO: eligible to need-based grant
but application not finalised
not enrolled"
11,166,1,YES: received
11,166,2,
11,166,3,"NO: eligible to need-based grant
not enrolled"
125,167,1,YES: received
125,167,2,
125,167,3,"NO: not eligible to
need-based grant
but enrolled"
9,168,1,YES: received
9,168,2,
9,168,3,"NO: not eligible to need-based grant
and not enrolled"
243,169,1,YES: received
243,169,2,
243,169,3,NO: should have
245,170,1,YES: received
245,170,2,
245,170,3,YES: received
1791,171,1,YES: received
1791,171,2,
1791,171,3,
